subdomain,is_reachable
ccuma1i.sci.uma.es,True
ccuma2i.sci.uma.es,True
ccv.uma.es,False
cdcue.uma.es,False
cea.isa.uma.es,False
ceca.uma.es,False
cehiuma-eventos.adabyron.uma.es,True
cehiuma.uma.es,True
central.cv.uma.es,True
central_v3.cv.uma.es,False
certem-tcp.lcc.uma.es,False
cesc.reservas.aulas.uma.es,True
cext.uma.es,True
checkit.lcc.uma.es,False
chirimoyo.ac.uma.es,True
ci.sci.uma.es,False
cidip2019.uma.es,True
cie.cv.uma.es,True
ciencias.cv.uma.es,True
ciencias.reservas.aulas.uma.es,True
cifpuem.uma.es,True
cigedi.uma.es,True
cimesvuemo.uma.es,False
cipdi.uma.es,True
circulareconomyuma.uma.es,True
ciril.ctima.uma.es,False
ciril2009.satd.uma.es,False
cisa.uma.es,False
ciudact.uma.es,False
cive.uma.es,True
civel.uma.es,False
cleft.uma.es,False
cmgi.uma.es,False
cmmr2010.etsit.uma.es,True
co2.eii.uma.es,False
combocarte.uma.es,False
comotu.uma.es,True
compev.uma.es,True
componentes.uma.es,True
componentespre.uma.es,False
composta.uma.es,True
comsimulator.uma.es,True
comsp.uma.es,True
condicionesmortiscausa.uma.es,True
congresobbppinfantil.uma.es,False
congresodanza.uma.es,True
congresointernacionaldedanza.uma.es,False
congresosnew.lcc.uma.es,False
congresotic.uma.es,True
consigna.uma.es,True
contrataciones.uma.es,True
contratosdetractosucesivo.uma.es,False
controlinr.uma.es,True
controlremoto.uma.es,False
cooperacioninternacional.uma.es,True
copernicus.adabyron.uma.es,True
correo.iaia.lcc.uma.es,True
correo.lcc.uma.es,False
correo.satd.uma.es,False
correo.uma.es,False
correo0.uma.es,False
correo1.satd.uma.es,False
correo1.uma.es,False
correo2.satd.uma.es,False
correo2.uma.es,False
correo22.satd.uma.es,False
correo3.uma.es,False
correoe1.uma.es,False
correoe2.uma.es,False
correoe3.uma.es,False
costasoleando.uma.es,True
costfa1405.uma.es,False
covidtest.uma.es,True
cre.eii.uma.es,False
creemoseducacioninclusiva.uma.es,True
criminologia.uma.es,True
cruetic.uma.es,False
crxsiss.uma.es,False
cst241.turismo.uma.es,False
cti.uma.es,False
ctima89.ctima.uma.es,True
ctima90.ctima.uma.es,True
ctima91.ctima.uma.es,True
ctpath.uma.es,True
cuarentimail1.uma.es,False
cuarentimail2.uma.es,False
cuckoo.adabyron.uma.es,True
cuervo.ic.uma.es,False
cultura.uma.es,True
cursextranjeros.uma.es,False
cursodireccionventas.uma.es,True
cursoextranjeros.uma.es,False
cursosmarketingdigital.uma.es,True
cwrobots.uma.es,True
dad.cv.uma.es,True
dad.uma.es,True
daddev.uma.es,True
dbserver.ac.uma.es,False
decytec.ccee.uma.es,False
delfos.lcc.uma.es,False
delfos.sci.uma.es,False
delta.otri.uma.es,True
deportes.uma.es,False
derecho.cv.uma.es,True
derecho.uma.es,False
descubretupasado.uma.es,True
designcrea.uma.es,False
despoblacionuma.uma.es,True
dgp.lcc.uma.es,False
dias3p.uma.es,True
die.uma.es,False
dietamediterranea.uma.es,False
digilab.uma.es,True
digital-eye.uma.es,True
digitaleye.uma.es,True
diogenes.sci.uma.es,False
directorio.bo.sci.uma.es,False
directorio.sci.uma.es,False
directorio.uma.es,False
diricom.lcc.uma.es,True
diseno.uma.es,False
disinformationresearch.uma.es,True
dj.uma.es,True
dnemesis.lcc.uma.es,False
dns01.evlt.uma.es,False
doc-eadmon-pre.uma.es,True
doc-eadmon.uma.es,True
doc.becas.uma.es,False
doce.uma.es,True
doceadm.sci.uma.es,False
doceadmdes.sci.uma.es,False
doceadmpre.sci.uma.es,False
docenciabd.lcc.uma.es,False
docenciasir.cv.uma.es,True
docker.dmz.ac.uma.es,False
docs.becas.uma.es,True
draco.lcc.uma.es,False
dspace.uma.es,False
dte.uma.es,False
dua.uma.es,True
duapre.uma.es,True
duma-des.uma.es,False
duma.uma.es,True
e-civeles.uma.es,False
eaempresas.uma.es,True
eamtechlab.uma.es,True
ebm.uma.es,False
ebt.uma.es,False
eca.uma.es,True
ecc2017.lcc.uma.es,True
ecgplus.lcc.uma.es,False
eco-mat.ccee.uma.es,True
eco.sci.uma.es,False
ecoiot.lcc.uma.es,True
ecom.uma.es,True
ecom45.uma.es,False
ecom</li>
